Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,
walking,0,-126.949059,911.295105,1966.59021,-224.5103,912.614807,1958.100586,-215.88295,566.162415,1958.201782,-212.537537,92.98909,2051.967773,-247.154419,24.939999,1911.235474,-29.387817,909.975403,1975.079834,-3.023017,564.749817,1990.176514,28.426201,87.68821,2054.359375,76.427177,26.385979,1914.457397,-204.497101,981.312012,1826.857544,,,,,,,-4.237267,984.108704,1841.512451,-308.884247,719.686462,1901.720825,-275.628265,548.811707,1914.40918,-289.149048,338.680756,2010.69165,-251.536072,84.708267,2044.356323,-190.762436,45.160519,2094.311035,-261.231598,50.642387,1883.832764,108.75238,876.142456,1953.242432,71.500778,554.726135,1940.162598,82.895691,220.342834,2046.264893,73.740791,94.721344,2060.751465,1.514635,29.779524,2102.151367,81.878708,60.380211,1884.207153,-251.536072,84.708267,2044.356323,-204.497101,981.312012,1826.857544,-190.762436,45.160519,2094.311035,-275.628265,548.811707,1914.40918,,,,-308.884247,719.686462,1901.720825,-289.149048,338.680756,2010.69165,-261.231598,50.642387,1883.832764,73.740791,94.721344,2060.751465,-4.237267,984.108704,1841.512451,1.514635,29.779524,2102.151367,71.500778,554.726135,1940.162598,,,,108.75238,876.142456,1953.242432,82.895691,220.342834,2046.264893,81.878708,60.380211,1884.207153,,,
walking,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walking,0.016667,-128.674362,910.943665,1964.786133,-226.307861,912.234314,1957.168701,-217.136658,565.799683,1955.531616,-212.792526,92.999634,2051.12207,-247.365829,24.179869,1910.754028,-31.040863,909.653076,1972.403687,-4.114239,564.518494,1988.554077,28.447824,87.691246,2053.912842,76.096077,26.094887,1914.019531,-207.518784,981.192383,1825.915527,,,,,,,-7.104816,983.583191,1838.272461,-311.05127,719.461731,1900.480957,-277.444336,548.256958,1911.97229,-289.523468,338.286896,2008.976929,-251.549118,84.744041,2043.577637,-190.97641,45.425022,2094.05957,-261.513367,49.587639,1882.901001,107.00547,875.815796,1949.519531,69.843163,554.445923,1938.519287,82.535797,220.436996,2045.589966,73.473358,94.820351,2060.296143,1.542046,29.953129,2101.959473,81.696907,59.969971,1883.281494,-251.549118,84.744041,2043.577637,-207.518784,981.192383,1825.915527,-190.97641,45.425022,2094.05957,-277.444336,548.256958,1911.97229,,,,-311.05127,719.461731,1900.480957,-289.523468,338.286896,2008.976929,-261.513367,49.587639,1882.901001,73.473358,94.820351,2060.296143,-7.104816,983.583191,1838.272461,1.542046,29.953129,2101.959473,69.843163,554.445923,1938.519287,,,,107.00547,875.815796,1949.519531,82.535797,220.436996,2045.589966,81.696907,59.969971,1883.281494,,,
walking,0.025,-129.553467,910.76532,1963.769165,-227.229706,912.050354,1956.71936,-217.840622,565.629272,1953.896484,-212.802673,93.090324,2050.735596,-247.435989,23.774519,1910.626831,-31.877228,909.480225,1970.81897,-4.746059,564.403198,1987.833008,28.385098,87.665352,2053.556885,75.923454,25.74543,1913.769165,-209.163437,981.153259,1825.214233,,,,,,,-8.660145,983.253784,1836.529663,-312.001129,719.255798,1900.060791,-278.400146,548.063354,1911.301758,-289.76123,338.182648,2008.562134,-251.494385,84.819633,2043.206909,-190.965958,45.537376,2093.904297,-261.591461,49.117584,1882.677124,105.826942,875.702332,1947.203857,69.000023,554.276794,1937.836792,82.278236,220.482071,2045.156494,73.2379,94.883942,2060.028564,1.404427,30.202965,2101.569336,81.637688,59.561142,1882.9823,-251.494385,84.819633,2043.206909,-209.163437,981.153259,1825.214233,-190.965958,45.537376,2093.904297,-278.400146,548.063354,1911.301758,,,,-312.001129,719.255798,1900.060791,-289.76123,338.182648,2008.562134,-261.591461,49.117584,1882.677124,73.2379,94.883942,2060.028564,-8.660145,983.253784,1836.529663,1.404427,30.202965,2101.569336,69.000023,554.276794,1937.836792,,,,105.826942,875.702332,1947.203857,82.278236,220.482071,2045.156494,81.637688,59.561142,1882.9823,,,
walking,0.033333,-130.424911,910.627014,1962.775635,-228.13887,911.903625,1956.267944,-218.559082,565.495056,1952.651245,-212.708633,93.177231,2050.518066,-247.535416,23.590126,1910.591797,-32.710968,909.350403,1969.283203,-5.389724,564.335693,1987.231323,28.309521,87.662964,2053.138428,75.721313,25.358118,1913.478638,-210.817368,981.043457,1824.417847,,,,,,,-10.205854,982.908813,1834.820679,-312.967621,719.19635,1899.890015,-279.340637,547.940186,1911.061768,-289.97464,338.067017,2008.5271,-251.437134,84.863342,2043.067505,-190.833359,45.627449,2093.714355,-261.721008,48.921108,1882.666138,104.705338,875.584106,1945.19812,68.057983,554.097534,1937.209351,81.867203,220.526291,2044.740723,72.997017,94.984215,2059.694336,1.280292,30.431427,2101.241699,81.555557,59.066483,1882.471924,-251.437134,84.863342,2043.067505,-210.817368,981.043457,1824.417847,-190.833359,45.627449,2093.714355,-279.340637,547.940186,1911.061768,,,,-312.967621,719.19635,1899.890015,-289.97464,338.067017,2008.5271,-261.721008,48.921108,1882.666138,72.997017,94.984215,2059.694336,-10.205854,982.908813,1834.820679,1.280292,30.431427,2101.241699,68.057983,554.097534,1937.209351,,,,104.705338,875.584106,1945.19812,81.867203,220.526291,2044.740723,81.555557,59.066483,1882.471924,,,
walking,0.041667,-131.420731,910.518188,1961.846558,-229.167435,911.794067,1955.849854,-219.372101,565.396667,1951.776489,-212.557922,93.253761,2050.421631,-247.558563,23.57646,1910.583618,-33.674038,909.242249,1967.843262,-6.158564,564.294922,1986.762939,28.132442,87.683022,2052.804443,75.443169,24.826326,1913.357788,-212.569244,981.010864,1823.539307,,,,,,,-11.881413,982.671448,1833.349487,-314.254944,719.055786,1900.114868,-280.328552,547.735718,1911.29895,-290.186676,338.142639,2008.776245,-251.420792,84.892609,2043.146118,-190.624329,45.760815,2093.541504,-261.75238,48.921173,1882.691284,103.504822,875.433167,1942.981323,66.959969,553.934143,1936.540894,81.256088,220.533096,2044.495361,72.649162,95.16098,2059.346191,1.121984,30.523355,2101.032715,81.362396,58.296967,1882.208984,-251.420792,84.892609,2043.146118,-212.569244,981.010864,1823.539307,-190.624329,45.760815,2093.541504,-280.328552,547.735718,1911.29895,,,,-314.254944,719.055786,1900.114868,-290.186676,338.142639,2008.776245,-261.75238,48.921173,1882.691284,72.649162,95.16098,2059.346191,-11.881413,982.671448,1833.349487,1.121984,30.523355,2101.032715,66.959969,553.934143,1936.540894,,,,103.504822,875.433167,1942.981323,81.256088,220.533096,2044.495361,81.362396,58.296967,1882.208984,,,
walking,0.05,-132.180069,910.422729,1960.888062,-229.969025,911.706604,1955.626465,-220.196091,565.323608,1950.430542,-212.23465,93.458145,2050.310059,-247.57608,23.626492,1910.63501,-34.391098,909.138855,1966.149536,-6.919799,564.31958,1987.333496,28.027502,87.634506,2052.496826,75.064384,23.996353,1913.312256,-214.30751,980.883057,1822.662231,,,,,,,-13.642162,982.415039,1831.550659,-315.239807,718.713074,1900.2323,-281.157379,547.717163,1911.588867,-290.407684,338.187317,2009.294067,-251.426376,84.811119,2043.314453,-190.389725,45.914459,2093.355957,-261.769897,48.94828,1882.762817,102.333839,875.269958,1940.697388,65.853348,553.681702,1935.992188,80.687233,220.54509,2044.222412,72.335396,95.422585,2058.993652,0.978,30.604012,2100.817871,81.125137,57.297565,1882.084229,-251.426376,84.811119,2043.314453,-214.30751,980.883057,1822.662231,-190.389725,45.914459,2093.355957,-281.157379,547.717163,1911.588867,,,,-315.239807,718.713074,1900.2323,-290.407684,338.187317,2009.294067,-261.769897,48.94828,1882.762817,72.335396,95.422585,2058.993652,-13.642162,982.415039,1831.550659,0.978,30.604012,2100.817871,65.853348,553.681702,1935.992188,,,,102.333839,875.269958,1940.697388,80.687233,220.54509,2044.222412,81.125137,57.297565,1882.084229,,,
walking,0.058333,-133.059494,910.379822,1959.740601,-230.876282,911.696655,1955.035278,-220.926376,565.314758,1950.104492,-212.045685,93.520699,2050.24292,-247.678864,23.656919,1910.657959,-35.242691,909.062988,1964.445923,-7.708225,564.35083,1987.230103,27.745966,87.673393,2052.175049,74.821503,23.155407,1913.40918,-216.059494,980.767944,1821.671997,,,,,,,-15.293815,982.021301,1829.674805,-315.698456,718.768616,1900.04895,-282.067474,547.709839,1912.10376,-290.705383,338.249756,2009.927734,-251.465851,84.775978,2043.499756,-190.160858,46.047634,2093.140625,-261.869415,48.997517,1882.855957,101.246338,875.054382,1938.615356,64.805229,553.490356,1935.400146,80.362625,220.87027,2043.387695,71.925529,95.588516,2058.784912,0.84285,30.672358,2100.731934,80.800018,56.14381,1882.053589,-251.465851,84.775978,2043.499756,-216.059494,980.767944,1821.671997,-190.160858,46.047634,2093.140625,-282.067474,547.709839,1912.10376,,,,-315.698456,718.768616,1900.04895,-290.705383,338.249756,2009.927734,-261.869415,48.997517,1882.855957,71.925529,95.588516,2058.784912,-15.293815,982.021301,1829.674805,0.84285,30.672358,2100.731934,64.805229,553.490356,1935.400146,,,,101.246338,875.054382,1938.615356,80.362625,220.87027,2043.387695,80.800018,56.14381,1882.053589,,,
walking,0.066667,-134.037979,910.311707,1958.445068,-231.878586,911.69281,1954.283691,-221.741394,565.307251,1950.035278,-211.906372,93.544067,2050.230225,-247.74942,23.625589,1910.726562,-36.197395,908.930603,1962.606445,-8.527396,564.324829,1986.792236,27.421,87.691963,2051.792969,74.724998,22.219517,1913.552734,-217.79187,980.609131,1820.572021,,,,,,,-16.964855,981.680542,1827.53479,-316.853851,718.772339,1900.381592,-283.01947,547.639587,1912.741455,-291.059784,338.123901,2010.56665,-251.500763,84.650543,2043.733643,-189.882553,46.169552,2092.969971,-261.971252,48.944172,1883.011841,100.084404,874.76062,1936.366455,63.685612,553.376709,1934.839233,80.057022,221.167465,2042.888184,71.612335,95.739738,2058.606201,0.654713,30.766493,2100.530029,80.607239,54.844418,1882.023438,-251.500763,84.650543,2043.733643,-217.79187,980.609131,1820.572021,-189.882553,46.169552,2092.969971,-283.01947,547.639587,1912.741455,,,,-316.853851,718.772339,1900.381592,-291.059784,338.123901,2010.56665,-261.971252,48.944172,1883.011841,71.612335,95.739738,2058.606201,-16.964855,981.680542,1827.53479,0.654713,30.766493,2100.530029,63.685612,553.376709,1934.839233,,,,100.084404,874.76062,1936.366455,80.057022,221.167465,2042.888184,80.607239,54.844418,1882.023438,,,
walking,0.075,-135.044556,910.265076,1957.155273,-232.904648,911.7052,1953.503906,-222.615494,565.314758,1950.104126,-211.888596,93.545082,2050.176758,-247.824722,23.565456,1910.727783,-37.184479,908.824951,1960.806519,-9.347547,564.3302,1986.344604,27.098831,87.742416,2051.398193,74.645477,21.561779,1913.579346,-219.491943,980.424561,1819.524902,,,,,,,-18.622438,981.321716,1825.424072,-318.159058,718.504822,1900.827148,-283.960938,547.594177,1913.325684,-291.52533,337.975342,2011.049927,-251.556183,84.544495,2043.925293,-189.664307,46.262032,2092.769775,-262.139252,48.859051,1883.116943,99.018646,874.447327,1934.341309,62.570347,553.25293,1934.244751,79.693336,221.492172,2042.392456,71.298294,95.89502,2058.409424,0.478955,30.922514,2100.30127,80.431511,53.954014,1881.866577,-251.556183,84.544495,2043.925293,-219.491943,980.424561,1819.524902,-189.664307,46.262032,2092.769775,-283.960938,547.594177,1913.325684,,,,-318.159058,718.504822,1900.827148,-291.52533,337.975342,2011.049927,-262.139252,48.859051,1883.116943,71.298294,95.89502,2058.409424,-18.622438,981.321716,1825.424072,0.478955,30.922514,2100.30127,62.570347,553.25293,1934.244751,,,,99.018646,874.447327,1934.341309,79.693336,221.492172,2042.392456,80.431511,53.954014,1881.866577,,,
