Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
walking,0,-186.820999,911.017273,1879.86499,-284.414246,914.62384,1887.251343,-293.954926,569.074768,1911.919556,-302.220642,97.088844,2011.203247,-342.96933,23.219078,1875.124634,-89.227791,907.410767,1872.47876,-88.327835,561.722961,1897.03186,-83.92334,87.344887,1984.452515,-47.656464,18.03723,1844.753662,-284.985962,974.539551,1750.774536,,,,,,,-82.861366,979.284912,1734.429688,-381.990784,718.296997,1860.484985,-357.466553,549.401184,1884.11084,-370.759827,350.485657,1983.577637,-345.888031,88.911064,2010.62439,-280.394226,50.102146,2052.537598,-356.977478,47.513947,1848.421387,37.641445,865.620667,1825.379272,-21.865007,544.691467,1832.299561,-24.685051,214.223022,1960.27478,-43.673382,100.071114,1982.454712,-107.796829,31.740389,2035.994751,-44.125805,50.172684,1813.66748,-345.888031,88.911064,2010.62439,-284.985962,974.539551,1750.774536,-280.394226,50.102146,2052.537598,-357.466553,549.401184,1884.11084,,,,-381.990784,718.296997,1860.484985,-370.759827,350.485657,1983.577637,-356.977478,47.513947,1848.421387,-43.673382,100.071114,1982.454712,-82.861366,979.284912,1734.429688,-107.796829,31.740389,2035.994751,-21.865007,544.691467,1832.299561,,,,37.641445,865.620667,1825.379272,-24.685051,214.223022,1960.27478,-44.125805,50.172684,1813.66748,,,,,,,,,
walking,0.008333,-186.534393,910.879333,1879.983032,-284.133148,914.455505,1887.311157,-293.818329,568.919739,1912.108521,-302.337463,96.926422,2011.335327,-342.985962,23.18424,1875.157471,-88.935646,907.303101,1872.655029,-88.163643,561.589111,1896.841553,-83.886002,87.256371,1984.513916,-47.693005,17.977394,1844.781616,-284.632233,974.219055,1750.793701,,,,,,,-82.515099,979.173767,1734.680176,-381.737518,718.073303,1860.51416,-357.322083,549.248108,1884.376343,-370.838715,350.37793,1983.782837,-346.026123,88.684395,2010.736694,-280.520844,49.980808,2052.594971,-356.981079,47.511452,1848.489502,38.102127,865.520447,1825.499268,-21.751665,544.58429,1831.969116,-24.631701,214.097351,1960.187744,-43.640251,99.95652,1982.494141,-107.729073,31.692627,2036.073242,-44.183479,50.140579,1813.71582,-346.026123,88.684395,2010.736694,-284.632233,974.219055,1750.793701,-280.520844,49.980808,2052.594971,-357.322083,549.248108,1884.376343,,,,-381.737518,718.073303,1860.51416,-370.838715,350.37793,1983.782837,-356.981079,47.511452,1848.489502,-43.640251,99.95652,1982.494141,-82.515099,979.173767,1734.680176,-107.729073,31.692627,2036.073242,-21.751665,544.58429,1831.969116,,,,38.102127,865.520447,1825.499268,-24.631701,214.097351,1960.187744,-44.183479,50.140579,1813.71582,,,,,,,,,
walking,0.016667,-186.22731,910.735107,1880.093872,-283.829376,914.286194,1887.390625,-293.675873,568.766724,1912.351807,-302.457245,96.761284,2011.498169,-343.01767,23.188732,1875.202148,-88.625259,907.184082,1872.796997,-87.978264,561.446228,1896.643799,-83.780289,87.17495,1984.651611,-47.733631,17.939442,1844.859863,-284.304626,973.91394,1750.831421,,,,,,,-82.167068,979.06073,1734.913818,-381.539062,717.84845,1860.636963,-357.164917,549.105103,1884.666626,-370.881958,350.291962,1984.152344,-346.1315,88.550087,2010.840454,-280.666565,49.821156,2052.645996,-356.991577,47.563995,1848.595581,38.405151,865.462402,1825.158325,-21.567593,544.503967,1831.639771,-24.506174,214.015305,1960.053589,-43.590809,99.904472,1982.585938,-107.590408,31.55752,2036.300171,-44.241985,50.126659,1813.77832,-346.1315,88.550087,2010.840454,-284.304626,973.91394,1750.831421,-280.666565,49.821156,2052.645996,-357.164917,549.105103,1884.666626,,,,-381.539062,717.84845,1860.636963,-370.881958,350.291962,1984.152344,-356.991577,47.563995,1848.595581,-43.590809,99.904472,1982.585938,-82.167068,979.06073,1734.913818,-107.590408,31.55752,2036.300171,-21.567593,544.503967,1831.639771,,,,38.405151,865.462402,1825.158325,-24.506174,214.015305,1960.053589,-44.241985,50.126659,1813.77832,,,,,,,,,
walking,0.025,-185.897507,910.616211,1880.20459,-283.503479,914.140686,1887.460571,-293.518402,568.640015,1912.613403,-302.579407,96.623451,2011.681519,-343.048065,23.192152,1875.282227,-88.291527,907.091736,1872.948486,-87.800003,561.328491,1896.427124,-83.762375,87.100624,1984.676147,-47.779613,17.908342,1844.846436,-283.922546,973.585449,1750.880249,,,,,,,-81.800888,978.932312,1735.116699,-381.314972,717.660889,1860.778687,-356.995026,549.015198,1884.990967,-370.940125,350.226135,1984.399414,-346.222382,88.429611,2010.916016,-280.80304,49.685917,2052.769775,-357.013977,47.596081,1848.720093,38.833046,865.414368,1825.103271,-21.373947,544.415039,1831.336182,-24.387394,213.896622,1959.969727,-43.59882,99.817291,1982.653564,-107.596428,31.575304,2036.151123,-44.312824,50.121998,1813.882568,-346.222382,88.429611,2010.916016,-283.922546,973.585449,1750.880249,-280.80304,49.685917,2052.769775,-356.995026,549.015198,1884.990967,,,,-381.314972,717.660889,1860.778687,-370.940125,350.226135,1984.399414,-357.013977,47.596081,1848.720093,-43.59882,99.817291,1982.653564,-81.800888,978.932312,1735.116699,-107.596428,31.575304,2036.151123,-21.373947,544.415039,1831.336182,,,,38.833046,865.414368,1825.103271,-24.387394,213.896622,1959.969727,-44.312824,50.121998,1813.882568,,,,,,,,,
walking,0.033333,-185.528793,910.493713,1880.284302,-283.137177,913.994995,1887.520386,-293.33429,568.515747,1912.895264,-302.693207,96.483498,2011.86084,-343.066986,23.177296,1875.366211,-87.920418,906.992493,1873.048218,-87.593338,561.206604,1896.194458,-83.723938,87.022903,1984.688232,-47.813377,17.87077,1844.820312,-283.546722,973.300598,1750.912354,,,,,,,-81.410683,978.79541,1735.242554,-381.084137,717.511169,1860.938354,-356.74295,548.944885,1885.33252,-370.942719,350.210236,1984.682739,-346.287964,88.316383,2011.02832,-280.951813,49.508175,2052.895508,-357.015625,47.590061,1848.832153,39.234447,865.37793,1824.879272,-21.14422,544.268372,1831.094971,-24.236311,213.740738,1959.863159,-43.524776,99.719543,1982.702759,-107.60701,31.55759,2036.026489,-44.347931,50.108749,1813.971558,-346.287964,88.316383,2011.02832,-283.546722,973.300598,1750.912354,-280.951813,49.508175,2052.895508,-356.74295,548.944885,1885.33252,,,,-381.084137,717.511169,1860.938354,-370.942719,350.210236,1984.682739,-357.015625,47.590061,1848.832153,-43.524776,99.719543,1982.702759,-81.410683,978.79541,1735.242554,-107.60701,31.55759,2036.026489,-21.14422,544.268372,1831.094971,,,,39.234447,865.37793,1824.879272,-24.236311,213.740738,1959.863159,-44.347931,50.108749,1813.971558,,,,,,,,,
walking,0.041667,-185.127609,910.368896,1880.363647,-282.738037,913.855469,1887.579346,-293.14267,568.400024,1913.192139,-302.838531,96.349297,2012.037231,-343.105164,23.170933,1875.442383,-87.517181,906.882324,1873.148071,-87.341492,561.076355,1895.993774,-83.62928,86.952744,1984.815552,-47.831242,17.83049,1844.903931,-283.146179,973.039673,1750.913208,,,,,,,-81.000381,978.677429,1735.324951,-380.821167,717.414673,1861.120972,-356.472076,548.92218,1885.685913,-370.917542,350.20282,1984.973633,-346.364532,88.2313,2011.092896,-281.14212,49.371635,2053.070068,-357.048737,47.611862,1848.889648,39.757881,865.28302,1825.087158,-20.881739,544.115845,1830.76123,-24.085129,213.56485,1959.71106,-43.487186,99.61145,1982.744019,-107.489746,31.439714,2036.242065,-44.372459,50.086548,1814.076538,-346.364532,88.2313,2011.092896,-283.146179,973.039673,1750.913208,-281.14212,49.371635,2053.070068,-356.472076,548.92218,1885.685913,,,,-380.821167,717.414673,1861.120972,-370.917542,350.20282,1984.973633,-357.048737,47.611862,1848.889648,-43.487186,99.61145,1982.744019,-81.000381,978.677429,1735.324951,-107.489746,31.439714,2036.242065,-20.881739,544.115845,1830.76123,,,,39.757881,865.28302,1825.087158,-24.085129,213.56485,1959.71106,-44.372459,50.086548,1814.076538,,,,,,,,,
walking,0.05,-184.70018,910.25415,1880.420898,-282.311554,913.727417,1887.628906,-292.915314,568.296692,1913.49231,-302.927673,96.22139,2012.188721,-343.10199,23.126348,1875.522095,-87.088783,906.780945,1873.212891,-87.073494,560.953857,1895.737671,-83.54364,86.879013,1984.826782,-47.823872,17.732635,1844.907104,-282.67923,972.839966,1750.910645,,,,,,,-80.608353,978.557922,1735.378174,-380.522034,717.344055,1861.411133,-356.156189,548.921814,1886.030518,-370.86496,350.227295,1985.197998,-346.442383,88.13694,2011.206421,-281.23999,49.152489,2053.267578,-357.043915,47.546879,1848.921875,40.153118,865.228394,1825.095581,-20.548971,543.934021,1830.458252,-23.930521,213.391953,1959.568726,-43.389278,99.441689,1982.724121,-107.445862,31.45912,2036.16333,-44.356377,49.989113,1814.157227,-346.442383,88.13694,2011.206421,-282.67923,972.839966,1750.910645,-281.23999,49.152489,2053.267578,-356.156189,548.921814,1886.030518,,,,-380.522034,717.344055,1861.411133,-370.86496,350.227295,1985.197998,-357.043915,47.546879,1848.921875,-43.389278,99.441689,1982.724121,-80.608353,978.557922,1735.378174,-107.445862,31.45912,2036.16333,-20.548971,543.934021,1830.458252,,,,40.153118,865.228394,1825.095581,-23.930521,213.391953,1959.568726,-44.356377,49.989113,1814.157227,,,,,,,,,
walking,0.058333,-184.246567,910.162598,1880.419678,-281.857574,913.625977,1887.638184,-292.684204,568.224609,1913.799805,-303.044434,96.120773,2012.323364,-343.119263,23.102402,1875.586548,-86.635551,906.699158,1873.201294,-86.794922,560.852417,1895.419922,-83.443977,86.834732,1984.819336,-47.827042,17.652996,1844.890869,-282.226654,972.643738,1750.855347,,,,,,,-80.194214,978.447205,1735.384399,-380.167175,717.295044,1861.612915,-355.867432,548.908752,1886.408203,-370.763367,350.239441,1985.605957,-346.513763,88.127022,2011.269775,-281.418335,48.975967,2053.464111,-357.058563,47.512959,1848.909546,40.495152,865.233704,1824.825684,-20.194561,543.775696,1830.037842,-23.770878,213.235992,1959.399536,-43.270168,99.291786,1982.720337,-107.41658,31.512304,2036.11499,-44.334782,49.932823,1814.186646,-346.513763,88.127022,2011.269775,-282.226654,972.643738,1750.855347,-281.418335,48.975967,2053.464111,-355.867432,548.908752,1886.408203,,,,-380.167175,717.295044,1861.612915,-370.763367,350.239441,1985.605957,-357.058563,47.512959,1848.909546,-43.270168,99.291786,1982.720337,-80.194214,978.447205,1735.384399,-107.41658,31.512304,2036.11499,-20.194561,543.775696,1830.037842,,,,40.495152,865.233704,1824.825684,-23.770878,213.235992,1959.399536,-44.334782,49.932823,1814.186646,,,,,,,,,
walking,0.066667,-183.754364,910.055847,1880.459595,-281.366638,913.511658,1887.664795,-292.415344,568.139526,1914.118774,-303.134674,96.002701,2012.445435,-343.114807,23.048506,1875.646729,-86.142082,906.600098,1873.254272,-86.494713,560.733826,1895.165894,-83.350655,86.773308,1984.875366,-47.844196,17.54225,1844.943237,-281.684723,972.420959,1750.828369,,,,,,,-79.707947,978.313171,1735.465576,-379.656311,717.297302,1861.795898,-355.576263,548.901062,1886.760742,-370.631805,350.293823,1985.87793,-346.570679,88.103882,2011.344482,-281.541504,48.77533,2053.678223,-357.058899,47.450203,1848.879028,40.786518,865.202393,1824.80127,-19.801519,543.602844,1829.704834,-23.675703,213.132568,1959.186523,-43.188877,99.115753,1982.681763,-107.385384,31.494942,2036.247681,-44.316757,49.832809,1814.243408,-346.570679,88.103882,2011.344482,-281.684723,972.420959,1750.828369,-281.541504,48.77533,2053.678223,-355.576263,548.901062,1886.760742,,,,-379.656311,717.297302,1861.795898,-370.631805,350.293823,1985.87793,-357.058899,47.450203,1848.879028,-43.188877,99.115753,1982.681763,-79.707947,978.313171,1735.465576,-107.385384,31.494942,2036.247681,-19.801519,543.602844,1829.704834,,,,40.786518,865.202393,1824.80127,-23.675703,213.132568,1959.186523,-44.316757,49.832809,1814.243408,,,,,,,,,
walking,0.075,-183.247009,909.96936,1880.505249,-280.860931,913.417542,1887.690674,-292.125214,568.076355,1914.455322,-303.197876,95.900711,2012.55603,-343.116852,23.033514,1875.693115,-85.633102,906.52124,1873.319702,-86.195724,560.634521,1894.900391,-83.255402,86.730125,1984.912964,-47.86095,17.475969,1844.963989,-281.159912,972.241272,1750.77832,,,,,,,-79.145309,978.195801,1735.614868,-379.181946,717.258423,1862.018677,-355.19281,548.927124,1887.142944,-370.448822,350.322845,1986.203003,-346.576721,88.112091,2011.382568,-281.681885,48.553017,2053.853271,-357.052795,47.439507,1848.866577,40.972843,865.208557,1824.470459,-19.430122,543.473145,1829.298462,-23.600657,213.055252,1958.998535,-43.103527,99.003548,1982.686523,-107.362938,31.514511,2036.277954,-44.289814,49.796528,1814.288452,-346.576721,88.112091,2011.382568,-281.159912,972.241272,1750.77832,-281.681885,48.553017,2053.853271,-355.19281,548.927124,1887.142944,,,,-379.181946,717.258423,1862.018677,-370.448822,350.322845,1986.203003,-357.052795,47.439507,1848.866577,-43.103527,99.003548,1982.686523,-79.145309,978.195801,1735.614868,-107.362938,31.514511,2036.277954,-19.430122,543.473145,1829.298462,,,,40.972843,865.208557,1824.470459,-23.600657,213.055252,1958.998535,-44.289814,49.796528,1814.288452,,,,,,,,,
