Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
walking,0,-231.17981,904.855835,-1025.288574,-133.50885,908.857971,-1031.318848,-124.590561,562.929504,-1050.232178,-114.095657,85.638374,-1119.364624,-59.98196,13.139502,-987.265259,-328.850739,900.85376,-1019.25824,-346.604034,555.958801,-1048.172363,-373.610565,79.320786,-1117.332397,-409.032074,9.394378,-977.724915,-135.808899,967.391235,-895.278992,,,,,,,-335.769257,968.151367,-881.536438,-37.892651,711.37085,-998.298828,-59.717617,541.638489,-1016.695007,-48.29435,339.317596,-1104.707764,-71.886276,80.410782,-1111.588257,,,,-55.227875,38.225636,-954.513245,-453.200989,858.892761,-971.800415,-412.938019,536.649353,-988.740234,-432.231415,215.467789,-1080.907959,-420.384644,94.265503,-1102.593994,-346.354797,24.471224,-1169.196533,-413.135712,42.64267,-950.918152,-71.886276,80.410782,-1111.588257,-135.808899,967.391235,-895.278992,,,,-59.717617,541.638489,-1016.695007,,,,-37.892651,711.37085,-998.298828,-48.29435,339.317596,-1104.707764,-55.227875,38.225636,-954.513245,-420.384644,94.265503,-1102.593994,-335.769257,968.151367,-881.536438,-346.354797,24.471224,-1169.196533,-412.938019,536.649353,-988.740234,,,,-453.200989,858.892761,-971.800415,-432.231415,215.467789,-1080.907959,-413.135712,42.64267,-950.918152
walking,0.008333,-231.385101,904.409851,-1025.732056,-133.714859,908.419189,-1031.769043,-124.612915,562.483521,-1050.461792,-113.853729,85.192947,-1119.557495,-59.899895,13.010234,-987.219849,-329.055328,900.400452,-1019.695068,-346.809631,555.490356,-1048.427856,-373.860291,78.894852,-1117.863281,-409.049652,9.296976,-978.033203,-135.958328,967.106445,-895.686157,,,,,,,-335.800446,967.953552,-881.89679,-37.592537,710.897888,-998.67157,-59.63969,541.200928,-1016.997925,-48.073956,339.1474,-1104.614258,-71.69902,80.014397,-1111.77124,,,,-55.284592,38.238899,-954.554016,-454.812561,857.623352,-973.739624,-412.938141,536.441772,-988.537354,-432.316223,215.319992,-1080.573364,-420.399353,94.127205,-1102.624023,-347.003418,23.060396,-1170.685303,-413.083008,42.581802,-950.980896,-71.69902,80.014397,-1111.77124,-135.958328,967.106445,-895.686157,,,,-59.63969,541.200928,-1016.997925,,,,-37.592537,710.897888,-998.67157,-48.073956,339.1474,-1104.614258,-55.284592,38.238899,-954.554016,-420.399353,94.127205,-1102.624023,-335.800446,967.953552,-881.89679,-347.003418,23.060396,-1170.685303,-412.938141,536.441772,-988.537354,,,,-454.812561,857.623352,-973.739624,-432.316223,215.319992,-1080.573364,-413.083008,42.581802,-950.980896
walking,0.016667,-231.588425,904.365295,-1025.82605,-133.919266,908.359314,-1031.890747,-124.633064,562.422852,-1050.477295,-113.62384,85.158112,-1119.71167,-59.850258,13.018817,-987.276978,-329.257568,900.371338,-1019.761414,-346.889557,555.427185,-1048.158569,-373.888062,78.860764,-1117.813232,-408.970947,9.303681,-977.936096,-136.247879,966.931458,-895.872742,,,,,,,-336.079224,967.908508,-882.120178,-37.706051,710.832275,-998.770752,-59.688011,541.118042,-1017.017944,-47.820782,338.993805,-1104.619751,-71.408089,79.912064,-1111.839478,,,,-55.306583,38.2341,-954.632324,-454.168884,858.421936,-972.307739,-412.932648,536.487671,-987.957458,-432.379486,215.066772,-1080.388672,-420.478119,94.04628,-1102.471558,-346.832642,23.427155,-1170.292847,-413.034454,42.666378,-951.018066,-71.408089,79.912064,-1111.839478,-136.247879,966.931458,-895.872742,,,,-59.688011,541.118042,-1017.017944,,,,-37.706051,710.832275,-998.770752,-47.820782,338.993805,-1104.619751,-55.306583,38.2341,-954.632324,-420.478119,94.04628,-1102.471558,-336.079224,967.908508,-882.120178,-346.832642,23.427155,-1170.292847,-412.932648,536.487671,-987.957458,,,,-454.168884,858.421936,-972.307739,-432.379486,215.066772,-1080.388672,-413.034454,42.666378,-951.018066
walking,0.025,-231.908218,904.330017,-1025.881592,-134.236664,908.294006,-1031.927246,-124.715965,562.351685,-1050.284546,-113.365677,85.142731,-1119.847778,-59.792931,12.988538,-987.339844,-329.579773,900.366028,-1019.83606,-347.084686,555.374512,-1047.731445,-374.003876,78.838173,-1117.622192,-409.014313,9.323955,-977.705566,-136.520432,966.798462,-896.00354,,,,,,,-336.474792,968.011169,-882.261169,-37.849247,710.881897,-998.277405,-59.735146,541.196716,-1016.584778,-47.596863,338.871643,-1104.548828,-71.221687,79.825142,-1111.721924,,,,-55.335571,38.210773,-954.741943,-454.930756,858.233032,-972.584106,-413.077087,536.485779,-987.057861,-432.613861,214.955505,-1079.664185,-420.569733,93.889557,-1102.44104,-346.929291,23.575827,-1170.012573,-413.0784,42.758556,-950.868103,-71.221687,79.825142,-1111.721924,-136.520432,966.798462,-896.00354,,,,-59.735146,541.196716,-1016.584778,,,,-37.849247,710.881897,-998.277405,-47.596863,338.871643,-1104.548828,-55.335571,38.210773,-954.741943,-420.569733,93.889557,-1102.44104,-336.474792,968.011169,-882.261169,-346.929291,23.575827,-1170.012573,-413.077087,536.485779,-987.057861,,,,-454.930756,858.233032,-972.584106,-432.613861,214.955505,-1079.664185,-413.0784,42.758556,-950.868103
walking,0.033333,-232.215836,903.889282,-1026.305542,-134.547531,907.843994,-1032.409668,-124.765289,561.898254,-1050.563965,-113.077065,84.697632,-1120.128662,-59.69043,12.866221,-987.370483,-329.884155,899.93457,-1020.201416,-347.340942,554.899902,-1047.589233,-374.345306,78.447578,-1118.017822,-409.002777,9.031832,-977.964539,-136.776413,966.460999,-896.445435,,,,,,,-336.567749,967.638306,-882.635742,-37.662617,710.344727,-999.086426,-59.732243,540.628784,-1017.074463,-47.323475,338.786682,-1104.434814,-70.936729,79.31646,-1112.110718,,,,-55.370373,38.202026,-954.836243,-455.852203,857.728333,-973.56897,-413.11676,535.993042,-986.546875,-433.02124,214.831284,-1078.797241,-420.901611,93.863716,-1101.789307,-347.479218,22.717766,-1171.105225,-412.944916,42.493137,-951.125977,-70.936729,79.31646,-1112.110718,-136.776413,966.460999,-896.445435,,,,-59.732243,540.628784,-1017.074463,,,,-37.662617,710.344727,-999.086426,-47.323475,338.786682,-1104.434814,-55.370373,38.202026,-954.836243,-420.901611,93.863716,-1101.789307,-336.567749,967.638306,-882.635742,-347.479218,22.717766,-1171.105225,-413.11676,535.993042,-986.546875,,,,-455.852203,857.728333,-973.56897,-433.02124,214.831284,-1078.797241,-412.944916,42.493137,-951.125977
walking,0.041667,-232.606644,904.144653,-1026.137939,-134.936905,908.050476,-1032.250366,-124.902557,562.101013,-1050.195557,-112.859642,84.967491,-1120.158691,-59.666607,12.954444,-987.421204,-330.276398,900.238831,-1020.025513,-347.505157,555.135254,-1046.679565,-374.337616,78.696404,-1117.265137,-408.956299,9.022445,-977.330444,-137.192459,966.474182,-896.450745,,,,,,,-337.095917,967.780273,-882.660828,-38.188843,710.694763,-998.305481,-59.899029,541.034912,-1016.443115,-47.071648,338.724823,-1104.332886,-70.807625,79.52655,-1111.86792,,,,-55.379219,38.203671,-954.875,-455.361603,858.57605,-971.979797,-413.493469,535.895386,-985.355957,-433.382721,214.652298,-1078.050537,-421.214691,93.887764,-1101.026123,-346.954529,24.135574,-1169.42041,-412.991669,42.63142,-950.923523,-70.807625,79.52655,-1111.86792,-137.192459,966.474182,-896.450745,,,,-59.899029,541.034912,-1016.443115,,,,-38.188843,710.694763,-998.305481,-47.071648,338.724823,-1104.332886,-55.379219,38.203671,-954.875,-421.214691,93.887764,-1101.026123,-337.095917,967.780273,-882.660828,-346.954529,24.135574,-1169.42041,-413.493469,535.895386,-985.355957,,,,-455.361603,858.57605,-971.979797,-433.382721,214.652298,-1078.050537,-412.991669,42.63142,-950.923523
walking,0.05,-233.010849,903.639099,-1026.633545,-135.347046,907.540833,-1032.842773,-125.013245,561.585144,-1050.494507,-112.595032,84.457695,-1120.433838,-59.557358,12.808509,-987.4375,-330.674652,899.737305,-1020.424255,-347.837646,554.583557,-1046.463745,-374.765686,78.262627,-1117.80481,-408.94516,8.791513,-977.661499,-137.4646,966.128052,-897.036499,,,,,,,-337.158844,967.453308,-882.989319,-38.015285,710.221741,-999.085144,-59.902023,540.538452,-1016.960876,-46.922039,338.688934,-1104.236694,-70.611389,79.028595,-1112.354126,,,,-55.40733,38.196171,-954.958984,-456.602203,857.553284,-973.625366,-413.851135,535.531006,-984.611389,-433.68457,214.528732,-1077.229126,-421.402374,93.846634,-1100.689087,-347.736176,22.73461,-1171.057495,-412.887787,42.430889,-951.100464,-70.611389,79.028595,-1112.354126,-137.4646,966.128052,-897.036499,,,,-59.902023,540.538452,-1016.960876,,,,-38.015285,710.221741,-999.085144,-46.922039,338.688934,-1104.236694,-55.40733,38.196171,-954.958984,-421.402374,93.846634,-1100.689087,-337.158844,967.453308,-882.989319,-347.736176,22.73461,-1171.057495,-413.851135,535.531006,-984.611389,,,,-456.602203,857.553284,-973.625366,-433.68457,214.528732,-1077.229126,-412.887787,42.430889,-951.100464
walking,0.058333,-233.432678,903.817627,-1026.54126,-135.771179,907.687256,-1032.806763,-125.181664,561.730713,-1050.291016,-112.442657,84.647804,-1120.47522,-59.552177,12.879268,-987.484619,-331.094177,899.948059,-1020.275696,-348.0242,554.727783,-1045.575562,-374.817047,78.46579,-1117.359253,-408.876953,8.8453,-977.260986,-137.8517,966.204529,-897.054688,,,,,,,-337.665344,967.592224,-883.019226,-38.477345,710.50354,-998.789062,-60.097649,540.796387,-1016.775818,-46.822132,338.662872,-1104.25415,-70.481133,79.17849,-1112.241699,,,,-55.427731,38.185104,-954.980103,-455.886566,858.393616,-971.897095,-414.369232,535.51532,-983.591858,-433.87915,214.364426,-1076.710327,-421.624969,93.858948,-1100.209106,-347.360413,23.804054,-1169.929443,-412.924133,42.59024,-950.96344,-70.481133,79.17849,-1112.241699,-137.8517,966.204529,-897.054688,,,,-60.097649,540.796387,-1016.775818,,,,-38.477345,710.50354,-998.789062,-46.822132,338.662872,-1104.25415,-55.427731,38.185104,-954.980103,-421.624969,93.858948,-1100.209106,-337.665344,967.592224,-883.019226,-347.360413,23.804054,-1169.929443,-414.369232,535.51532,-983.591858,,,,-455.886566,858.393616,-971.897095,-433.87915,214.364426,-1076.710327,-412.924133,42.59024,-950.96344
walking,0.066667,-233.866745,903.618591,-1026.718506,-136.206787,907.479431,-1033.013062,-125.346062,561.520813,-1050.287476,-112.256271,84.461212,-1120.56604,-59.489777,12.829601,-987.452454,-331.526703,899.757751,-1020.423889,-348.326416,554.486633,-1045.108643,-375.072113,78.321007,-1117.546509,-408.901001,8.877895,-977.304321,-138.135834,966.175842,-897.206055,,,,,,,-337.978638,967.615295,-883.151611,-38.623341,710.40863,-998.85437,-60.245644,540.698975,-1016.874329,-46.775196,338.63504,-1104.241089,-70.383781,79.008667,-1112.287109,,,,-55.437153,38.195026,-954.981567,-457.043671,857.608154,-972.878052,-414.757355,535.372742,-982.891907,-433.960693,214.179474,-1076.610718,-421.726593,93.791313,-1100.039673,-347.804382,23.164459,-1170.605957,-412.94278,42.646069,-950.876282,-70.383781,79.008667,-1112.287109,-138.135834,966.175842,-897.206055,,,,-60.245644,540.698975,-1016.874329,,,,-38.623341,710.40863,-998.85437,-46.775196,338.63504,-1104.241089,-55.437153,38.195026,-954.981567,-421.726593,93.791313,-1100.039673,-337.978638,967.615295,-883.151611,-347.804382,23.164459,-1170.605957,-414.757355,535.372742,-982.891907,,,,-457.043671,857.608154,-972.878052,-433.960693,214.179474,-1076.610718,-412.94278,42.646069,-950.876282
walking,0.075,-234.243851,903.476318,-1026.861084,-136.587952,907.332703,-1033.220947,-125.507843,561.378967,-1050.453491,-112.160797,84.321854,-1120.700439,-59.484867,12.810096,-987.486572,-331.89975,899.619873,-1020.50116,-348.525574,554.300537,-1044.622925,-375.204803,78.232498,-1117.723633,-408.805084,8.828104,-977.407288,-138.474503,966.086487,-897.392151,,,,,,,-338.295319,967.531677,-883.293518,-38.802189,710.253784,-999.335876,-60.474995,540.438232,-1017.339844,-46.784931,338.60321,-1104.379272,-70.256599,78.89785,-1112.499512,,,,-55.477879,38.186123,-955.018127,-456.906952,857.843384,-972.304016,-414.95993,535.213806,-982.332458,-434.019806,213.97023,-1076.628662,-421.801971,93.76001,-1099.896484,-347.88916,23.095903,-1170.827637,-412.865051,42.59272,-950.99231,-70.256599,78.89785,-1112.499512,-138.474503,966.086487,-897.392151,,,,-60.474995,540.438232,-1017.339844,,,,-38.802189,710.253784,-999.335876,-46.784931,338.60321,-1104.379272,-55.477879,38.186123,-955.018127,-421.801971,93.76001,-1099.896484,-338.295319,967.531677,-883.293518,-347.88916,23.095903,-1170.827637,-414.95993,535.213806,-982.332458,,,,-456.906952,857.843384,-972.304016,-434.019806,213.97023,-1076.628662,-412.865051,42.59272,-950.99231
