Label,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
standing up,0,380.587891,507.426208,316.113983,387.700165,515.195618,413.48468,55.473091,527.643677,511.332031,164.328278,57.971745,527.304565,9.503126,19.174126,514.713501,373.475586,499.656769,218.743286,-0.1052,514.379761,111.220619,156.785492,45.550556,95.31646,1.063496,13.938296,114.962135,,,,582.555237,512.723816,388.403748,,,,339.502594,629.312744,198.563278,230.92923,559.818542,566.735901,49.523273,532.891541,591.214233,88.090973,318.653046,594.45166,146.564056,79.984505,542.114014,206.914566,36.408794,486.047089,-12.297582,45.320068,543.329102,369.379059,567.070251,55.216549,31.858269,530.740112,18.845442,115.246048,193.229431,48.088463,154.030441,84.325951,73.427856,203.444138,30.023392,146.941422,-19.847198,45.953575,80.673241,146.564056,79.984505,542.114014,,,,206.914566,36.408794,486.047089,49.523273,532.891541,591.214233,582.555237,512.723816,388.403748,230.92923,559.818542,566.735901,88.090973,318.653046,594.45166,-12.297582,45.320068,543.329102,154.030441,84.325951,73.427856,339.502594,629.312744,198.563278,203.444138,30.023392,146.941422,31.858269,530.740112,18.845442,,,,369.379059,567.070251,55.216549,115.246048,193.229431,48.088463,-19.847198,45.953575,80.673241,,,,,,
standing up,0.008333,380.583679,507.27594,316.04068,387.726288,515.015198,413.41156,55.520119,527.531006,511.320587,164.369232,57.857841,527.296631,9.524941,19.139727,514.695862,373.44104,499.536652,218.669815,-0.105254,514.322815,111.248466,156.714767,45.495899,95.236137,1.00188,13.893511,114.969444,,,,582.502136,512.41095,388.23053,,,,339.515961,629.28186,198.54155,230.975983,559.771484,566.730347,49.555412,532.87616,591.210449,88.172226,318.498871,594.349731,146.719421,79.840729,542.092285,206.930145,36.254963,486.082886,-12.267658,45.303032,543.308228,369.377075,567.05127,55.213791,31.862576,530.768921,18.845572,114.689545,193.683182,48.443993,154.014267,83.476013,72.677773,203.436722,29.980852,146.943481,-19.856806,45.971325,80.663605,146.719421,79.840729,542.092285,,,,206.930145,36.254963,486.082886,49.555412,532.87616,591.210449,582.502136,512.41095,388.23053,230.975983,559.771484,566.730347,88.172226,318.498871,594.349731,-12.267658,45.303032,543.308228,154.014267,83.476013,72.677773,339.515961,629.28186,198.54155,203.436722,29.980852,146.943481,31.862576,530.768921,18.845572,,,,369.377075,567.05127,55.213791,114.689545,193.683182,48.443993,-19.856806,45.971325,80.663605,,,,,,
standing up,0.016667,380.609833,507.388947,316.111206,387.730804,515.147461,413.482147,55.506824,527.656372,511.331787,164.333847,57.978569,527.324097,9.510472,19.177155,514.721924,373.488861,499.630463,218.74025,-0.105166,514.456421,111.230461,156.774857,45.620621,95.346756,1.064032,13.962667,115.006813,,,,582.588196,512.665955,388.42868,,,,339.538635,629.322388,198.557785,230.980331,559.872803,566.727966,49.568817,532.971191,591.198425,88.128426,318.691345,594.441895,146.596848,80.007088,542.134583,206.921341,36.42355,486.075714,-12.304457,45.320328,543.345825,369.404785,567.061279,55.193871,31.867434,530.783752,18.873526,115.231026,193.26326,48.067402,154.179764,84.869492,74.103554,203.438416,30.058353,146.913452,-19.854694,45.942413,80.66761,146.596848,80.007088,542.134583,,,,206.921341,36.42355,486.075714,49.568817,532.971191,591.198425,582.588196,512.665955,388.42868,230.980331,559.872803,566.727966,88.128426,318.691345,594.441895,-12.304457,45.320328,543.345825,154.179764,84.869492,74.103554,339.538635,629.322388,198.557785,203.438416,30.058353,146.913452,31.867434,530.783752,18.873526,,,,369.404785,567.061279,55.193871,115.231026,193.26326,48.067402,-19.854694,45.942413,80.66761,,,,,,
standing up,0.025,380.634766,507.349487,316.088959,387.764404,515.10614,413.459351,55.544586,527.664917,511.31665,164.320007,57.97702,527.363831,9.495735,19.18178,514.755005,373.505127,499.592834,218.718536,-0.10515,514.485596,111.298943,156.73703,45.644073,95.39093,1.028314,13.976082,115.051582,,,,582.583923,512.496033,388.345947,,,,339.611603,629.330139,198.513367,231.017883,559.857422,566.720337,49.603962,532.981384,591.203979,88.15081,318.646942,594.435059,146.648743,79.980301,542.172607,206.888596,36.408077,486.155029,-12.303875,45.322559,543.35968,369.439392,567.058716,55.187927,31.892092,530.794373,18.889843,114.68293,193.720718,48.439999,154.207458,84.514206,74.020576,203.433472,30.022146,146.940216,-19.859884,45.945946,80.683228,146.648743,79.980301,542.172607,,,,206.888596,36.408077,486.155029,49.603962,532.981384,591.203979,582.583923,512.496033,388.345947,231.017883,559.857422,566.720337,88.15081,318.646942,594.435059,-12.303875,45.322559,543.35968,154.207458,84.514206,74.020576,339.611603,629.330139,198.513367,203.433472,30.022146,146.940216,31.892092,530.794373,18.889843,,,,369.439392,567.058716,55.187927,114.68293,193.720718,48.439999,-19.859884,45.945946,80.683228,,,,,,
standing up,0.033333,380.660309,507.315582,316.070648,387.781067,515.074036,413.441559,55.568665,527.673096,511.31897,164.329163,57.981968,527.370239,9.506181,19.181204,514.76178,373.539551,499.557098,218.699707,-0.10518,514.356812,111.249771,156.752853,45.512169,95.261467,1.039937,13.890036,114.9627,,,,582.603271,512.462585,388.362488,,,,339.625671,629.305237,198.520401,231.037384,559.908569,566.744019,49.62199,533.040955,591.220398,88.194138,318.673462,594.402832,146.659592,79.980499,542.165466,206.901764,36.399807,486.152954,-12.287908,45.317123,543.366394,369.432526,567.037415,55.197742,31.894718,530.797546,18.916655,115.219833,193.300735,48.057541,154.060028,83.616707,72.787903,203.419662,30.056055,146.951035,-19.859495,45.948776,80.694954,146.659592,79.980499,542.165466,,,,206.901764,36.399807,486.152954,49.62199,533.040955,591.220398,582.603271,512.462585,388.362488,231.037384,559.908569,566.744019,88.194138,318.673462,594.402832,-12.287908,45.317123,543.366394,154.060028,83.616707,72.787903,339.625671,629.305237,198.520401,203.419662,30.056055,146.951035,31.894718,530.797546,18.916655,,,,369.432526,567.037415,55.197742,115.219833,193.300735,48.057541,-19.859495,45.948776,80.694954,,,,,,
standing up,0.041667,380.684967,507.383759,316.098267,387.806824,515.148682,413.468597,55.588333,527.781128,511.320587,164.28894,58.077248,527.404724,9.484262,19.204933,514.792358,373.56311,499.618805,218.727951,-0.105111,514.547241,111.342422,156.726456,45.692383,95.411018,1.025647,13.985499,115.0718,,,,582.658813,512.530945,388.402069,,,,339.68689,629.343201,198.494644,231.062515,559.945435,566.722046,49.653057,533.083191,591.210205,88.151299,318.802368,594.505249,146.572662,80.118607,542.236328,206.876968,36.536194,486.176117,-12.320017,45.326401,543.396606,369.483154,567.058777,55.156673,31.918962,530.807617,18.925438,114.694344,193.738892,48.447605,154.10936,84.95713,74.197807,203.429352,30.071838,146.954453,-19.856121,45.929745,80.705795,146.572662,80.118607,542.236328,,,,206.876968,36.536194,486.176117,49.653057,533.083191,591.210205,582.658813,512.530945,388.402069,231.062515,559.945435,566.722046,88.151299,318.802368,594.505249,-12.320017,45.326401,543.396606,154.10936,84.95713,74.197807,339.68689,629.343201,198.494644,203.429352,30.071838,146.954453,31.918962,530.807617,18.925438,,,,369.483154,567.058777,55.156673,114.694344,193.738892,48.447605,-19.856121,45.929745,80.705795,,,,,,
standing up,0.05,380.698669,507.294464,316.057861,387.831055,515.045898,413.428528,55.626839,527.6922,511.327637,164.332031,57.988403,527.383789,9.512469,19.179098,514.760132,373.566315,499.543091,218.68721,-0.105074,514.461914,111.234726,156.784302,45.611084,95.418793,1.065508,13.978704,115.056854,,,,582.640076,512.309998,388.304596,,,,339.707245,629.326538,198.483978,231.095078,559.916199,566.729004,49.691128,533.067871,591.224182,88.251411,318.666443,594.387512,146.725906,79.997063,542.209656,206.912369,36.370224,486.162628,-12.285725,45.311928,543.363586,369.478302,567.037659,55.173164,31.925529,530.812622,18.923483,115.235229,193.286453,48.073112,154.419769,84.510925,74.094933,203.418365,30.019133,146.990082,-19.862413,45.963276,80.697792,146.725906,79.997063,542.209656,,,,206.912369,36.370224,486.162628,49.691128,533.067871,591.224182,582.640076,512.309998,388.304596,231.095078,559.916199,566.729004,88.251411,318.666443,594.387512,-12.285725,45.311928,543.363586,154.419769,84.510925,74.094933,339.707245,629.326538,198.483978,203.418365,30.019133,146.990082,31.925529,530.812622,18.923483,,,,369.478302,567.037659,55.173164,115.235229,193.286453,48.073112,-19.862413,45.963276,80.697792,,,,,,
standing up,0.058333,380.741486,507.386932,316.085449,387.855103,515.155151,413.456146,55.642487,527.810425,511.325226,164.295639,58.095097,527.394897,9.494752,19.209494,514.777039,373.627838,499.618713,218.714798,-0.105128,514.44519,111.343117,156.73642,45.582592,95.315842,1.027897,13.926126,114.996773,,,,582.73584,512.546387,388.44339,,,,339.748291,629.372559,198.496216,231.100739,559.976868,566.715393,49.702938,533.125549,591.218872,88.187576,318.83551,594.489136,146.584732,80.174561,542.260132,206.891846,36.543102,486.131744,-12.316634,45.33181,543.390686,369.516449,567.029663,55.154045,31.948738,530.803162,18.920963,114.707108,193.7388,48.457985,154.05542,83.767853,72.960213,203.437454,30.079927,146.959854,-19.849951,45.946209,80.704483,146.584732,80.174561,542.260132,,,,206.891846,36.543102,486.131744,49.702938,533.125549,591.218872,582.73584,512.546387,388.44339,231.100739,559.976868,566.715393,88.187576,318.83551,594.489136,-12.316634,45.33181,543.390686,154.05542,83.767853,72.960213,339.748291,629.372559,198.496216,203.437454,30.079927,146.959854,31.948738,530.803162,18.920963,,,,369.516449,567.029663,55.154045,114.707108,193.7388,48.457985,-19.849951,45.946209,80.704483,,,,,,
standing up,0.066667,380.751434,507.316284,316.030548,387.883759,515.059998,413.401825,55.685608,527.732849,511.317963,164.315674,58.011948,527.380859,9.499952,19.188419,514.753235,373.619141,499.57254,218.659317,-0.105044,514.447815,111.226524,156.779373,45.58593,95.386269,1.058117,13.976738,115.042717,,,,582.684448,512.271851,388.267944,,,,339.791656,629.396912,198.457367,231.149338,559.898315,566.702332,49.736908,533.065247,591.221191,88.262482,318.684387,594.410522,146.740112,80.053558,542.243958,206.881744,36.410542,486.158447,-12.293406,45.320587,543.354004,369.52655,567.022095,55.136917,31.973101,530.820496,18.912968,115.251328,193.286804,48.077499,154.307053,84.483017,74.013092,203.426407,29.999985,146.968109,-19.854111,45.972412,80.695274,146.740112,80.053558,542.243958,,,,206.881744,36.410542,486.158447,49.736908,533.065247,591.221191,582.684448,512.271851,388.267944,231.149338,559.898315,566.702332,88.262482,318.684387,594.410522,-12.293406,45.320587,543.354004,154.307053,84.483017,74.013092,339.791656,629.396912,198.457367,203.426407,29.999985,146.968109,31.973101,530.820496,18.912968,,,,369.52655,567.022095,55.136917,115.251328,193.286804,48.077499,-19.854111,45.972412,80.695274,,,,,,
standing up,0.075,380.770996,507.355804,316.051056,387.884308,515.114258,413.422577,55.681557,527.762085,511.326477,164.31749,58.042019,527.375671,9.509057,19.191061,514.74353,373.657654,499.597412,218.67955,-0.105113,514.393555,111.308876,156.740631,45.525612,95.270782,1.024768,13.917141,114.971085,,,,582.736145,512.455505,388.4104,,,,339.795593,629.361755,198.464874,231.14328,559.939819,566.716492,49.743305,533.087219,591.215881,88.269676,318.735229,594.42688,146.674683,80.105598,542.214905,206.901672,36.465706,486.126862,-12.295822,45.320175,543.357361,369.539917,566.996948,55.137127,31.990829,530.808167,18.911264,114.732521,193.703354,48.468956,154.108368,83.474792,72.736855,203.432892,30.035801,146.93573,-19.847437,45.97065,80.684776,146.674683,80.105598,542.214905,,,,206.901672,36.465706,486.126862,49.743305,533.087219,591.215881,582.736145,512.455505,388.4104,231.14328,559.939819,566.716492,88.269676,318.735229,594.42688,-12.295822,45.320175,543.357361,154.108368,83.474792,72.736855,339.795593,629.361755,198.464874,203.432892,30.035801,146.93573,31.990829,530.808167,18.911264,,,,369.539917,566.996948,55.137127,114.732521,193.703354,48.468956,-19.847437,45.97065,80.684776,,,,,,
